rank,name,interantional,movies,average
245,Brian May,687223033,1,687223033
246,Jim Beach,687223033,1,687223033
247,Roger Taylor,687223033,1,687223033
248,Gary Barber,686679690,10,68667969
249,Zack Snyder,686135857,5,137227171
250,Don Carmody,680000635,11,61818240
251,Tim Burton,676455394,9,75161710
252,Gregory Goodman,675536889,7,96505270
253,Yu Dong,675387402,3,225129134
254,Gale Anne Hurd,664568168,9,73840908
255,Jonathan Glickman,662535461,8,82816933
256,Bob Ducsay,660850658,3,220283553
257,Jerry Weintraub,659435566,7,94205081
258,Bruce Davey,659247045,9,73249672
259,John Cohen,645587459,3,215195820
260,Mark Nielsen,639356805,1,639356805
261,Todd Garner,635582560,16,39723910
262,Nicole Paradis Grindle,634223615,1,634223615
263,Laurence Mark,633577917,13,48736763
264,Gregory Jacobs,630538970,13,48502998
265,Kristie Macosko Krieger,629650547,7,89950078
266,Dany Garcia,628007656,9,69778628
267,Robert Watts,627587508,5,125517502
268,Marshall Herskovitz,624070166,5,124814033
269,Peter Lord,622581539,6,103763590
270,David Sproxton,622581539,6,103763590
271,Philip Steuer,621182562,3,207060854
272,Greg Mooradian,615246382,4,153811596
273,Mike Medavoy,613702779,14,43835913
274,Grant Curtis,607617789,2,303808895
275,Yann Zenou,606492044,6,101082007
276,Laurent Zeitoun,606492044,6,101082007
277,Nicolas Duval Adassovksy,606492044,6,101082007
278,Andrew Adamson,605942519,4,151485630
279,Bradley Thomas,604855291,15,40323686
280,Brian Rogers,601199777,3,200399926
281,Lynda Obst,599973332,5,119994666
282,Baz Luhrmann,597344680,5,119468936
283,Lucas Foster,593802015,7,84828859
284,Gary Lucchesi,593039394,23,25784321
285,Jason Statham,590930107,3,196976702
286,Bill Kong,590327200,7,84332457
287,Ethan Coen,590021783,18,32778988
288,Martin Scorsese,588105913,8,73513239
289,Will Ferrell,583330163,26,22435776
290,Adam McKay,583330163,23,25362181
291,Jennifer Gibgot,580970379,10,58097038
292,Denise Ream,579388425,2,289694213
293,John Jacobs,577188284,5,115437657
294,Iain Smith,574037237,7,82005320
295,Gary Kurtz,572097044,2,286048522
296,Tim Sanders,571666235,1,571666235
297,Andrew Lazar,569543160,18,31641287
298,Paula Weinstein,567703446,13,43669496
299,Jason Clark,566324862,5,113264972
300,Chris Thomas,564429585,1,564429585
301,Ori Marmur,562948842,5,112589768
302,Walter Hill,562928714,3,187642905
303,David Giler,562928714,3,187642905
304,Ivan Reitman,560987116,14,40070508
305,Danny Lerner,559982585,6,93330431
306,Michelle Rejwan,558938488,1,558938488
307,David Womark,557095278,2,278547639
308,Graham Walters,555900000,1,555900000
309,Alex Gartner,554254114,4,138563529
310,Jon Berg,552878885,9,61430987
311,Denise Di Novi,552237038,17,32484532
312,Toshio Suzuki,552053685,6,92008948
313,Debra Hayward,549936104,7,78562301
314,Christina Steinberg,549521388,4,137380347
315,Ryan Kavanaugh,549357449,18,30519858
316,Bobby Cohen,549118926,8,68639866
317,Jim Wilson,546883415,6,91147236
318,Erwin Stoff,542851442,11,49350131
319,Bob Gale,542848391,4,135712098
