rank,name, interantional , movies , average 
194,John H. Williams,829673609.00,5.00,165934722.00
195,Oren Peli,812736788.00,13.00,62518214.00
196,Jason Blumenthal,805073397.00,19.00,42372284.00
197,Mike Stenson,804600000.00,1.00,804600000.00
198,Robert Lorenz,793095342.00,11.00,72099577.00
199,Eric McLeod,792124612.00,8.00,99015577.00
200,Adam Bohling,790579834.00,7.00,112939976.00
201,David Reid,790579834.00,7.00,112939976.00
202,Don Simpson,790138555.00,7.00,112876936.00
203,Christopher McQuarrie,789371206.00,3.00,263123735.00
204,Tom Rosenberg,782859610.00,21.00,37279029.00
205,Cean Chaffin,781551698.00,7.00,111650243.00
206,Steve Golin,781358988.00,20.00,39067949.00
207,Gil Netter,776048073.00,10.00,77604807.00
208,Scott Kroopf,772696133.00,6.00,128782689.00
209,Patrick Wachsberger,770595890.00,7.00,110085127.00
210,Broderick Johnson,769950880.00,17.00,45291228.00
211,Mark Vahradian,760149513.00,14.00,54296394.00
212,Arnold Kopelson,760083860.00,9.00,84453762.00
213,Mace Neufeld,759200224.00,10.00,75920022.00
214,Stephen Chow,759197138.00,2.00,379598569.00
215,Kevin Costner,754900426.00,7.00,107842918.00
216,Avi Lerner,754864640.00,19.00,39729718.00
217,Lindsey Collins,751994749.00,2.00,375997375.00
218,Bernd Eichinger,750745969.00,9.00,83416219.00
219,Nancy Meyers,749898394.00,12.00,62491533.00
220,Janice Karman,748758763.00,4.00,187189691.00
221,Ross Bagdasarian Jr,748758763.00,4.00,187189691.00
222,Judy Craymer,746163889.00,2.00,373081945.00
223,Robert Rodriguez,745165642.00,14.00,53226117.00
224,Judd Apatow,744110412.00,28.00,26575372.00
225,Lee Stollman,741168266.00,6.00,123528044.00
226,David Brown,733128792.00,13.00,56394522.00
227,Lawrence Bender,728801800.00,13.00,56061677.00
228,Bill Block,727816637.00,17.00,42812743.00
229,Lawrence Gordon,723700883.00,12.00,60308407.00
230,Yunyun Wei,721413600.00,1.00,721413600.00
231,Liu Wenzhang,721413600.00,1.00,721413600.00
232,Charles B. Wessler,721288952.00,10.00,72128895.00
233,Bernie Goldmann,711426584.00,5.00,142285317.00
234,Gina Shay,711140125.00,3.00,237046708.00
235,Barbara Muschietti,707340964.00,5.00,141468193.00
